filter_scaling,depth,batchsize,fold,highest_val_acc,lowest_val_loss,threshold_max,mAP_max,threshold_max_augmentation,mAP_max_augmentation
16.0,4.0,64.0,4.0,0.9696498107910156,0.08575495064258576,0.673469387755102,0.7123750000000001,0.6326530612244897,0.736875
16.0,5.0,64.0,1.0,0.965926513671875,0.09703926414251328,0.5510204081632653,0.723625,0.4693877551020408,0.737125
16.0,5.0,64.0,2.0,0.9719802093505859,0.07881460785865783,0.5714285714285714,0.7316250000000001,0.4897959183673469,0.74925
16.0,5.0,64.0,3.0,0.9674225616455078,0.09025700777769088,0.6122448979591836,0.7302500000000001,0.6122448979591836,0.7482500000000001
16.0,5.0,64.0,4.0,0.9680171203613281,0.09182536393404007,0.6122448979591836,0.718875,0.5510204081632653,0.730875
16.0,6.0,64.0,1.0,0.9706985473632812,0.0942123982310295,0.42857142857142855,0.7426250000000002,0.5714285714285714,0.7496250000000001
16.0,6.0,64.0,2.0,0.9656369018554688,0.09773679941892624,0.5918367346938775,0.708625,0.5714285714285714,0.728
16.0,6.0,64.0,3.0,0.9667139434814453,0.09697122275829315,0.5510204081632653,0.71825,0.5306122448979591,0.734375
16.0,6.0,64.0,4.0,0.9727193450927735,0.09032018929719925,0.5510204081632653,0.74575,0.5510204081632653,0.763375
32.0,4.0,64.0,1.0,0.9709812927246094,0.07900106742978096,0.7346938775510203,0.7325,0.6530612244897959,0.7516250000000001
32.0,4.0,64.0,2.0,0.9705393981933593,0.0789467516541481,0.7959183673469387,0.736375,0.6530612244897959,0.754875
32.0,4.0,64.0,3.0,0.9693180847167969,0.07929688900709152,0.5918367346938775,0.7276249999999999,0.5510204081632653,0.7452500000000001
32.0,4.0,64.0,4.0,0.9702050018310547,0.07579688280820847,0.8163265306122448,0.725375,0.7551020408163265,0.74375
32.0,5.0,64.0,1.0,0.9751618957519531,0.06892594903707504,0.5102040816326531,0.7597499999999999,0.5102040816326531,0.772875
32.0,5.0,64.0,2.0,0.9760186767578125,0.06948380887508393,0.6122448979591836,0.75875,0.6326530612244897,0.7717500000000002
32.0,5.0,64.0,3.0,0.9701078033447266,0.07874244108796119,0.7346938775510203,0.7335,0.6122448979591836,0.7547499999999999
32.0,5.0,64.0,4.0,0.9711138153076172,0.08351407736539841,0.5918367346938775,0.732875,0.5102040816326531,0.748125
64.0,3.0,64.0,1.0,0.96696044921875,0.08506494402885437,0.6938775510204082,0.69025,0.7142857142857142,0.7075
64.0,3.0,64.0,2.0,0.9679340362548828,0.08345051884651183,0.7551020408163265,0.707125,0.7142857142857142,0.7242500000000001
64.0,3.0,64.0,3.0,0.9623270416259766,0.09912362426519394,0.8163265306122448,0.6927500000000001,0.7755102040816326,0.7113749999999999
64.0,3.0,64.0,4.0,0.9679299163818359,0.08007582485675811,0.7755102040816326,0.7135000000000001,0.7755102040816326,0.7296250000000001
64.0,4.0,64.0,1.0,0.9691486358642578,0.08389238089323044,0.5510204081632653,0.7346250000000001,0.5306122448979591,0.753625
64.0,4.0,64.0,2.0,0.9718315887451172,0.07915648549795151,0.5714285714285714,0.7297500000000001,0.5918367346938775,0.7490000000000001
64.0,4.0,64.0,3.0,0.9694874572753907,0.08201154977083207,0.7142857142857142,0.73675,0.6938775510204082,0.748375
64.0,4.0,64.0,4.0,0.9739987182617188,0.07488437861204147,0.7142857142857142,0.73425,0.5306122448979591,0.7517500000000001
64.0,5.0,64.0,1.0,0.9696741485595703,0.0810305816680193,0.5510204081632653,0.7380000000000001,0.5918367346938775,0.748375
64.0,5.0,64.0,2.0,0.9692654418945312,0.08072938412427902,0.673469387755102,0.73775,0.5102040816326531,0.7461250000000001
64.0,5.0,64.0,3.0,0.9748310852050781,0.06526101008057594,0.6938775510204082,0.765125,0.5510204081632653,0.7745000000000002
64.0,5.0,64.0,4.0,0.9764599609375,0.07058844923973083,0.5918367346938775,0.7755,0.6326530612244897,0.7885
64.0,6.0,64.0,1.0,0.9705914306640625,0.08158732563257218,0.5918367346938775,0.7515000000000001,0.5102040816326531,0.761875
